state_abb,D0,D1,D2,D3,D4
UT,0.0,0.0,0.0,0.0,0.0
OH,0.0,0.0,0.0,0.0,0.0
WI,0.0,0.0,0.0,0.0,0.0
AL,55.36,23.66,10.56,0.0,0.0
NE,0.0,0.0,0.0,0.0,0.0
OK,0.0,0.0,0.0,0.0,0.0
ID,0.0,0.0,0.0,0.0,0.0
MI,0.0,0.0,0.0,0.0,0.0
NY,0.0,0.0,0.0,0.0,0.0
PA,0.0,0.0,0.0,0.0,0.0
MN,0.0,0.0,0.0,0.0,0.0
WY,0.0,0.0,0.0,0.0,0.0
WY,0.0,0.0,0.0,0.0,0.0
AZ,0.0,0.0,0.0,0.0,0.0
NC,0.0,0.0,0.0,0.0,0.0
DC,10.26,0.0,0.0,0.0,0.0
WV,0.0,0.0,0.0,0.0,0.0
AL,31.12,16.06,6.73,0.0,0.0
MT,0.0,0.0,0.0,0.0,0.0
VA,0.0,0.0,0.0,0.0,0.0
UT,0.0,0.0,0.0,0.0,0.0
AR,0.3,0.0,0.0,0.0,0.0
OH,0.0,0.0,0.0,0.0,0.0
AR,34.5,6.26,0.0,0.0,0.0
PR,0.0,0.0,0.0,0.0,0.0
CT,14.93,22.04,4.84,0.0,0.0
IN,0.0,0.0,0.0,0.0,0.0
IN,0.0,0.0,0.0,0.0,0.0
NJ,0.0,0.0,0.0,0.0,0.0
TX,0.0,0.0,0.0,0.0,0.0
IL,0.0,0.0,0.0,0.0,0.0
MA,0.0,0.0,0.0,0.0,0.0
KY,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,0.0
OH,0.0,0.0,0.0,0.0,0.0
TX,0.0,0.0,0.0,0.0,0.0
NV,0.0,0.0,0.0,0.0,0.0
AK,0.0,0.0,0.0,0.0,0.0
CA,34.85,3.94,2.82,1.04,0.0
NC,0.0,0.0,0.0,0.0,0.0
MA,0.0,0.0,0.0,0.0,0.0
SD,0.0,0.0,0.0,0.0,0.0
LA,0.0,0.0,0.0,0.0,0.0
WV,0.0,0.0,0.0,0.0,0.0
ID,0.0,0.0,0.0,0.0,0.0
ID,0.0,0.0,0.0,0.0,0.0
ND,0.0,0.0,0.0,0.0,0.0
OK,0.0,0.0,0.0,0.0,0.0
MA,0.0,0.0,0.0,0.0,0.0
NY,0.0,0.0,0.0,0.0,0.0
SD,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,0.0
VA,0.0,0.0,0.0,0.0,0.0
HI,0.0,0.0,0.0,0.0,0.0
KS,0.0,0.0,0.0,0.0,0.0
WA,0.0,0.0,0.0,0.0,0.0
OR,0.0,0.0,0.0,0.0,0.0
NY,0.0,0.0,0.0,0.0,0.0
KS,0.0,0.0,0.0,0.0,0.0
WI,0.0,0.0,0.0,0.0,0.0
SD,0.0,0.0,0.0,0.0,0.0
DC,19.86,32.6,18.07,12.79,6.12
IA,0.0,0.0,0.0,0.0,0.0
TN,0.0,0.0,0.0,0.0,0.0
VA,0.0,0.0,0.0,0.0,0.0
WV,0.0,0.0,0.0,0.0,0.0
MO,0.0,0.0,0.0,0.0,0.0
CA,73.68,21.14,0.0,0.0,0.0
OR,0.0,0.0,0.0,0.0,0.0
WV,0.0,0.0,0.0,0.0,0.0
NJ,0.0,0.0,0.0,0.0,0.0
NM,0.0,0.0,0.0,0.0,0.0
NE,0.0,0.0,0.0,0.0,0.0
PA,0.0,0.0,0.0,0.0,0.0
NC,0.0,0.0,0.0,0.0,0.0
KS,0.0,0.0,0.0,0.0,0.0
ME,0.0,0.0,0.0,0.0,0.0
ID,0.0,0.0,0.0,0.0,0.0
CT,32.91,6.29,0.0,0.0,0.0
WV,0.0,0.0,0.0,0.0,0.0
HI,0.0,0.0,0.0,0.0,0.0
NC,0.0,0.0,0.0,0.0,0.0
DE,0.28,0.0,0.0,0.0,0.0
IL,0.0,0.0,0.0,0.0,0.0
MA,0.0,0.0,0.0,0.0,0.0
SD,0.0,0.0,0.0,0.0,0.0
AL,7.23,21.77,24.67,29.93,9.93
SC,0.0,0.0,0.0,0.0,0.0
MI,0.0,0.0,0.0,0.0,0.0
VT,0.0,0.0,0.0,0.0,0.0
AZ,31.71,1.61,0.0,0.0,0.0
MN,0.0,0.0,0.0,0.0,0.0
DC,56.43,34.74,0.0,0.0,0.0
AK,0.0,9.35,17.54,48.21,24.91
UT,0.0,0.0,0.0,0.0,0.0
RI,0.0,0.0,0.0,0.0,0.0
DE,0.0,0.0,0.0,0.0,0.0
OR,0.0,0.0,0.0,0.0,0.0
HI,0.0,0.0,0.0,0.0,0.0
IL,0.0,0.0,0.0,0.0,0.0
AK,8.87,0.0,0.0,0.0,0.0
AK,16.43,37.16,43.25,3.16,0.0
AR,19.33,59.47,0.0,0.0,0.0
NV,0.0,0.0,0.0,0.0,0.0
NM,0.0,0.0,0.0,0.0,0.0
NH,0.0,0.0,0.0,0.0,0.0
PA,0.0,0.0,0.0,0.0,0.0
VT,0.0,0.0,0.0,0.0,0.0
PA,0.0,0.0,0.0,0.0,0.0
VT,0.0,0.0,0.0,0.0,0.0
TN,0.0,0.0,0.0,0.0,0.0
NJ,0.0,0.0,0.0,0.0,0.0
IA,0.0,0.0,0.0,0.0,0.0
SD,0.0,0.0,0.0,0.0,0.0
MA,0.0,0.0,0.0,0.0,0.0
CA,18.16,7.29,0.77,0.0,0.0
MT,0.0,0.0,0.0,0.0,0.0
PA,0.0,0.0,0.0,0.0,0.0
KY,0.0,0.0,0.0,0.0,0.0
PR,0.0,0.0,0.0,0.0,0.0
UT,0.0,0.0,0.0,0.0,0.0
MO,0.0,0.0,0.0,0.0,0.0
NV,0.0,0.0,0.0,0.0,0.0
KS,0.0,0.0,0.0,0.0,0.0
OH,0.0,0.0,0.0,0.0,0.0
MN,0.0,0.0,0.0,0.0,0.0
CO,12.06,0.0,0.0,0.0,0.0
MO,0.0,0.0,0.0,0.0,0.0
FL,0.0,0.0,0.0,0.0,0.0
RI,0.0,0.0,0.0,0.0,0.0
VA,0.0,0.0,0.0,0.0,0.0
IN,0.0,0.0,0.0,0.0,0.0
MO,0.0,0.0,0.0,0.0,0.0
MO,0.0,0.0,0.0,0.0,0.0
RI,0.0,0.0,0.0,0.0,0.0
SC,0.0,0.0,0.0,0.0,0.0
NH,0.0,0.0,0.0,0.0,0.0
VA,0.0,0.0,0.0,0.0,0.0
VA,0.0,0.0,0.0,0.0,0.0
KY,0.0,0.0,0.0,0.0,0.0
CO,0.0,0.0,0.0,0.0,0.0
CA,19.66,0.53,0.0,0.0,0.0
MN,0.0,0.0,0.0,0.0,0.0
ME,0.0,0.0,0.0,0.0,0.0
MI,0.0,0.0,0.0,0.0,0.0
